"Study_Area_Name","Ecoregion_ID","Ecoregion_Name","Overlap_Percentage"
"ANE04ELA",679,"Sarmatic mixed forests",99.96
"ANE04WLA",679,"Sarmatic mixed forests",99.69
"BAA23SIE",792,"Iberian conifer forests",92.31
"BAA23SIE",793,"Iberian sclerophyllous and semi-deciduous forests",7.69
"BAI20ADC",644,"Appenine deciduous montane forests",67.15
"BAI20ADC",795,"Italian sclerophyllous and semi-deciduous forests",32.85
"BAI17ADP",795,"Italian sclerophyllous and semi-deciduous forests",100
"BEI24SNP",647,"Baltic mixed forests",95.31
"CHM24GRP",344,"Western Great Lakes forests",99.95
"CHM24VOY",344,"Western Great Lakes forests",100
"NAK08BOG",726,"Daurian forest steppe",100
"CII20ALM",644,"Appenine deciduous montane forests",97.96
"CII20ALM",795,"Italian sclerophyllous and semi-deciduous forests",2.04
"DAE95GAN",411,"Brooks-British Range tundra",90.5
"DAE95GAN",375,"Interior Alaska-Yukon lowland taiga",8.45
"DAE95GAN",416,"Interior Yukon-Alaska alpine tundra",1.05
"WAI07WDM",734,"Mongolian-Manchurian grassland",100
"GAE23VOY-G",344,"Western Great Lakes forests",100
"GUA04BZM",692,"Carpathian montane forests",100
"HOS05HNP",734,"Mongolian-Manchurian grassland",100
"JEA04BHA",320,"Indus River Delta-Arabian Sea mangroves",10.25
"JEA04BHA",314,"Aravalli west thorn scrub forests",88.25
"JUU13SER",767,"Tian Shan montane steppe and meadows",100
"KAV18ZOR",762,"Pamir alpine desert and tundra",100
"KUK06WCA",345,"Alberta-British Columbia foothills forests",52.85
"KUK06WCA",361,"Northern Rockies conifer forests",47.15
"LAY14GLB",0,"Rock and Ice",0.54
"LAY14GLB",360,"Northern Pacific Alaskan coastal forests",83.56
"LAE25SHP",769,"Western Himalayan alpine shrub and meadows",98.04
"LAE25SHP",310,"Western Himalayan subalpine conifer forests",1.96
"LAI12ANP",674,"Pannonian mixed forests",100
"LAR94MBS",378,"Muskwa-Slave Lake taiga",46.79
"LAR94MBS",381,"Northwest Territories taiga",53.21
"LAI24MAR",795,"Italian sclerophyllous and semi-deciduous forests",100
"MAN98NAN",0,"Rock and Ice",9.76
"MAN98NAN",418,"Kalaallit Nunaat High Arctic tundra",75.56
"MAN98HWH",0,"Rock and Ice",21.22
"MAN98HWH",417,"Kalaallit Nunaat Arctic steppe",64.05
"MER85QAH",370,"Central Canadian Shield forests",8.48
"MER85QAH",333,"Eastern Canadian Forest-Boreal transition",91.52
"MER85QAL",333,"Eastern Canadian Forest-Boreal transition",100
"MER85LKS",333,"Eastern Canadian Forest-Boreal transition",100
"MYS19DRF",647,"Baltic mixed forests",59.16
"MYS19DRF",654,"Central European mixed forests",40.84
"MYS18AGF",654,"Central European mixed forests",100
"OLN97SCA",717,"Scandinavian and Russian taiga",100
"ORI24GPN",689,"Alps conifer and mixed forests",100
"PAL22GNP",0,"Rock and Ice",19.69
"PAL22GNP",769,"Western Himalayan alpine shrub and meadows",80.31
"PEE21UMP",344,"Western Great Lakes forests",100
"TOS15AMR",648,"Cantabrian mixed forests",81.47
"TOS15AMR",793,"Iberian sclerophyllous and semi-deciduous forests",18.53
"TOA24ERL-L",644,"Appenine deciduous montane forests",8.95
"TOA24ERL-L",795,"Italian sclerophyllous and semi-deciduous forests",82.8
"TOA24ERL-L",675,"Po Basin mixed forests",8.24
"TOA18LGR",689,"Alps conifer and mixed forests",3.47
"TOA18LGR",644,"Appenine deciduous montane forests",7.38
"TOA18LGR",795,"Italian sclerophyllous and semi-deciduous forests",87.13
"TOA18LGR",799,"Northeast Spain and Southern France Mediterranean forests",0.96
"TOA16LGR-A",689,"Alps conifer and mixed forests",6.51
"TOA16LGR-A",795,"Italian sclerophyllous and semi-deciduous forests",90.69
"TOA16LGR-A",799,"Northeast Spain and Southern France Mediterranean forests",2.56
"TRC20TMM",660,"Dinaric Mountains mixed forests",100
"VIA24KZR",661,"East European forest steppe",100
"WOF19GTE",367,"South Central Rockies forests",100
